,ticker,winrate_4y,return_4y,buyhold_4y,winrate_1y,return_1y,buyhold_1y,winrate_td,return_td,buyhold_td,std_1y,std_3m,return_1m,return_3m,return_6m
44,AMGN,42.74,0.87,1.2,47.37,1.02,1.14,42.86,1.05,0.91,19.487655039970612,14.599722911372798,1.2777387631513633,1.202554400624389,1.1549771687418235
45,IBM,43.77,0.94,1.42,33.82,1.06,1.12,57.14,0.71,1.22,10.76732406720322,10.953917211791847,1.3500941209220854,1.1933777830401915,1.051224401148931
46,QCOM,50.93,1.27,0.91,41.26,1.03,1.23,53.12,0.78,1.24,9.649208642291338,9.225359032904201,0.8064947040843728,0.7300111936907844,0.6022005157980995
47,DHR,45.13,0.75,0.93,37.31,0.96,0.98,26.67,0.53,1.1,11.63403060282995,10.407405149172483,0.8919078235504875,0.8067369692825086,0.825912910380858
48,NOW,54.41,1.84,1.25,48.08,0.96,1.71,44.83,1.07,1.12,83.97602002314488,32.53682281218096,1.3460608655746016,1.1863429770712404,0.9578931804931261
49,CAT,52.32,1.32,1.56,52.52,0.98,1.18,52.0,1.17,1.19,23.347928800905166,18.325924561580788,1.4543286913020634,1.1987802204729874,1.2882428470403666
50,PFE,49.04,1.29,0.5,50.0,1.01,0.59,47.83,1.06,0.92,5.118129835566035,0.8889047863392696,0.50540986764896,0.5241151762973608,0.6169081265855514
51,UNP,46.0,0.72,1.0,43.38,0.96,1.16,38.1,0.83,1.04,13.425219391758063,5.806205506324035,0.9897631161228787,0.9241360345601918,0.8457326307537707
52,TXN,48.43,0.64,0.9,42.45,1.0,0.99,48.0,0.79,1.03,10.425411774645754,4.88900786185386,0.8511529942294108,0.8276729331398741,0.8534067045422647
53,SPGI,43.08,0.47,0.93,39.46,0.89,1.26,20.69,0.7,1.0,28.07266570135856,10.563601793384585,0.9523074413325421,0.9282110190078143,0.8471140507355558
54,GE,56.15,1.51,2.17,58.14,1.03,1.77,61.54,1.25,1.35,13.424990764427609,12.381361737197548,1.7954882914213806,1.576853311197541,1.502728829820768
55,PM,41.4,0.86,0.96,37.59,0.91,0.94,19.05,0.72,0.97,3.746597915975127,2.059866250841904,0.9250571531476283,0.9640855385510136,1.006435569546915
56,AMAT,51.02,1.48,1.3,46.5,1.01,1.53,45.45,1.11,1.36,15.590272294338964,20.269738355543716,1.1735286412075372,0.992801216309329,0.8857666312947202
57,UBER,62.88,2.71,1.77,62.3,1.08,2.25,56.25,1.44,1.35,9.151202174514133,7.382137997664563,1.5963531423935002,1.4119766728075107,1.0470508833575107
58,HON,42.65,0.53,0.96,39.2,0.88,0.97,13.64,0.77,0.98,8.331405049539509,3.1952245297660644,0.9322487863056967,0.9641626531427557,0.9304306541333358
59,ISRG,53.56,1.51,1.1,48.85,0.93,1.19,40.0,1.03,1.22,32.51484272018204,19.51725841776595,1.0947184273056376,0.9043509771855226,0.8407918374709006
